호선명,역이름,관광지명,관광지 주소
9호선,신반포,방배동카페골목,서울특별시 서초구 방배동
1호선,종로5가,방산시장,서울특별시 중구 주교동
5호선,방이,방이 백제고분군,서울특별시 송파구 방이동
1호선,방학,방학동 도깨비시장,서울특별시 도봉구 도당로13다길 30
5호선,방화,방화근린공원,서울특별시 강서구 금낭화로 176 방화근린공원관리사무소
1호선,수원,방화수류정,경기도 수원시 팔달구 수원천로392번길 44-6 방화수류정
1호선,동묘앞,백남준기념관,서울특별시 종로구 종로53길 12-1
6호선,동묘앞,백남준기념관,서울특별시 종로구 종로53길 12-1
6호선,효창공원앞,백범기념관,서울특별시 용산구 효창원로 177-18
5호선,공덕,백범김구기념관,서울특별시 용산구 효창원로 177-18
1호선,소요산,벨기에.룩셈부르크참전기념탑,경기도 동두천시 상봉암동 13
1호선,도봉산,벽운계곡,서울특별시 노원구 상계동
7호선,도봉산,벽운계곡,서울특별시 노원구 상계동
2호선,신대방,보라매공원,서울특별시 동작구 여의대방로20길 33
7호선,보라매,보라매공원,서울특별시 동작구 여의대방로20길 33
7호선,보라매,보라매안전체험관,서울특별시 동작구 여의대방로20길 33
6호선,보문,보문사,서울특별시 성북구 보문사길 20 보문사
1호선,종각,보신각,서울특별시 종로구 종로 54 보신각
1호선,종각,보신각,서울특별시 종로구 종로 54 보신각
1호선,종로3가,"보신각앞3.1운동만세시위지,한성정부선포지",서울특별시 종로구 종로3가
5호선,종로3가,"보신각앞3.1운동만세시위지,한성정부선포지",서울특별시 종로구 종로3가
7호선,삼산체육관,볼베어파크,경기도 부천시 조마루로 2 웅진플레이도시 2층 볼베어파크
2호선,삼성,봉은사,서울특별시 강남구 봉은사로 531 봉은사
7호선,청담,봉은사,서울특별시 강남구 봉은사로 531 봉은사
9호선,봉은사,봉은사,서울특별시 강남구 봉은사로 531 봉은사
2호선,서울대입구,봉일온천,서울특별시 관악구 은천로 28 봉일프라자
6호선,봉화산,봉화산,서울특별시 중랑구 묵동
6호선,봉화산,봉화산옹기테마공원,서울특별시 중랑구 신내로21길 116
7호선,부천종합운동장,부천백만송이장미원,경기도 부천시 성곡로63번길 99 도당공원
7호선,까치울,부천식물원,경기도 부천시 길주로 660
7호선,까치울,부천어린이천문대,경기도 부천시 길주로561번길 24
7호선,까치울,부천자연생태공원,경기도 부천시 길주로 660
7호선,춘의,부천천문과학관,경기도 부천시 부천로264번길 117
7호선,삼산체육관,부천한옥체험마을,경기도 부천시 길주로 1
7호선,굴포천,부평 굴포누리 기후변화체험관,인천광역시 부평구 장제로 267
7호선,부평구청,부평문화의거리,인천광역시 부평구 부평문화로 78-2
1호선,광운대,북서울 꿈의숲,서울특별시 강북구 월계로 173
4호선,미아사거리,북서울꿈의숲,서울특별시 강북구 월계로 173
6호선,돌곶이역,북서울꿈의숲,서울특별시 강북구 월계로 173
1호선,성균관대,북수원 온천,경기도 수원시 장안구 서부로 2139 SK HUB BLUE
3호선,안국,북촌 한옥마을,서울특별시 종로구 계동길 37
1호선,도봉산,북한산국립공원,서울특별시 도봉구 도봉산길 86
7호선,도봉산,북한산국립공원,서울특별시 도봉구 도봉산길 86
1호선,의정부,북한산둘레길15구간,경기도 의정부시 의정부동
1호선,망월사,북한산둘레길16구간,경기도 의정부시 호원동
1호선,방학,북한산둘레길19구간,서울특별시 도봉구 방학동
6호선,독바위,북한산둘레길8구간,서울특별시 은평구 불광동
3호선,구파발,북한산성,경기도 고양시 덕양구 대서문길 375
4호선,수유,북한산성,경기도 고양시 덕양구 대서문길 375
9호선,석촌,불광사,서울특별시 송파구 백제고분로39길 35 대한불교조계종불광사
6호선,창신역,불교박물관,서울특별시 종로구 우정국로 55 조계사
4호선,상계,불암산,서울특별시 노원구 상계동
2호선,뚝섬,브릭캠퍼스 서울,"서울특별시 성동구 서울숲2길 32-14 갤러리아 포레 G층 더 서울라이티움 1,3관"
5호선,고덕,브이센터,서울특별시 강동구 아리수로61길 103
2호선,사당,사당동 백제요지,서울특별시 관악구 남현동
1호선,노량진,사육신 묘,서울특별시 동작구 노량진1동
9호선,노들,사육신공원,서울특별시 동작구 노량진로 191
3호선,경복궁,사직단,서울특별시 종로구 사직동
1호선,동두천중앙,사천서원,경기도 양주시 은현면 은현로382번길 52 (은현면)
6호선,동묘앞,산마루 놀이터,서울특별시 종로구 창신동 23-350
2호선,한양대,살곶이 다리,서울특별시 성동구 성수동1가
6호선,삼각지,삼각지대구탕골목,서울특별시 용산구 한강대로62가길 4
5호선,군자(능동)역(5),삼원페이퍼갤러리,서울특별시 중구 을지로35길 24
2호선,잠실,삼전도비,서울특별시 송파구 잠실로 148
8호선,잠실,삼전도비,서울특별시 송파구 잠실로 148
8호선,석촌,삼전도비,서울특별시 송파구 잠실로 148
3호선,안국,삼청동카페거리,서울특별시 종로구 삼청동 74-1
1호선,광운대,상상톡톡 미술관,서울특별시 강북구 월계로 173
1호선,보산,상패수변공원,경기도 동두천시 상패동
1호선,용산,새남터 순교성지,서울특별시 용산구 이촌로 80-8
1호선,보산,생연음식문화거리,경기도 동두천시 생연동
1호선,망월사,서계 박세당 고택(서계종가),경기도 의정부시 동일로128번길 36
1호선,망월사,서계박세당묘역,경기도 의정부시 장암동
7호선,장암,서계박세당사랑채,경기도 의정부시 장암동
6호선,망원,서교동최규하대통령가옥,서울특별시 마포구 서교동
3호선,독립문,서대문독립공원,서울특별시 서대문구 통일로 251 독립공원
3호선,독립문,서대문형무소역사관,서울특별시 서대문구 통일로 251 서대문형무소역사관
9호선,구반포,서래섬,서울특별시 서초구 반포동
6호선,구산역,서오릉,경기도 고양시 덕양구 서오릉로 334-32
2호선,선릉,서울 무형문화재 전수회관,서울특별시 강남구 봉은사로 406
7호선,강남구청,서울 무형문화재 전수회관,서울특별시 강남구 봉은사로 406
1호선,신이문,"서울 의릉(경종,선의왕후)",서울특별시 성북구 화랑로32길 146-20
6호선,디지털미디어시티,서울 코믹월드,서울특별시 강남구 남부순환로 3104 SETEC
4호선,경마공원,서울경마공원,경기도 과천시 경마공원대로 107
1호선,시청,서울광장,서울특별시 중구 을지로 12
2호선,시청,서울광장,서울특별시 중구 을지로 12
2호선,잠실,서울놀이마당,서울특별시 송파구 삼학사로 136 서울놀이마당
8호선,잠실,서울놀이마당,서울특별시 송파구 삼학사로 136 서울놀이마당
4호선,대공원,서울대공원 스카이리프트,경기도 과천시 막계동 366-6
4호선,대공원,서울대공원·서울랜드,경기도 과천시 광명로 181
4호선,대공원,서울대학공원산림욕장,경기도 과천시 대공원광장로 102
1호선,동묘앞,서울동묘,서울특별시 종로구 난계로27길 84 동묘공원
6호선,동묘앞,서울동묘,서울특별시 종로구 난계로27길 84 동묘공원
3호선,학여울,서울무역전시장,서울특별시 강남구 남부순환로 3104 SETEC
4호선,혜화,서울문묘,서울특별시 종로구 성균관로 31 성균관유림회관
9호선,선정릉,서울선릉과정릉,서울특별시 강남구 선릉로100길 1 선릉정릉
1호선,동대문,서울성곽,서울특별시 종로구 옥인6길 26-19
4호선,한성대입구,서울성곽,서울특별시 종로구 옥인6길 26-19
4호선,동대문,서울성곽,서울특별시 종로구 옥인6길 26-19
2호선,뚝섬,서울숲,서울특별시 성동구 뚝섬로 273
2호선,잠실,서울스카이 (제2롯데월드),서울특별시 송파구 올림픽로 300 117~123층
8호선,잠실,서울스카이 (제2롯데월드),서울특별시 송파구 올림픽로 300 117~123층
1호선,월계,서울시립 북서울미술관,서울특별시 노원구 동일로 1238
1호선,시청,서울시립미술관,서울특별시 중구 덕수궁길 61 서울시립미술관
2호선,시청,서울시립미술관,서울특별시 중구 덕수궁길 61 서울시립미술관
5호선,서대문,서울시립미술관,서울특별시 중구 덕수궁길 61 서울시립미술관
2호선,사당,서울시립미술관 남서울분관,서울특별시 관악구 남부순환로 2076 서울시립미술관
7호선,어린이대공원,서울시민안전체험관,서울특별시 광진구 능동로 216 어린이대공원
7호선,중계,서울시민천문대,서울특별시 노원구 동일로205길 13 노원우주학교
9호선,마곡나루,서울식물원,서울특별시 강서구 마곡동로 161
9호선,마곡나루,서울식물원,서울특별시 강서구 마곡동로 161
5호선,발산,서울식물원,서울특별시 강서구 마곡동로 161 서울식물원
1호선,제기동,서울약령시장,서울특별시 동대문구 약령중앙로 10
7호선,어린이대공원,서울어린이대공원놀이동산,서울특별시 광진구 능동로 216
7호선,어린이대공원,서울어린이대공원동물원,서울특별시 광진구 능동로 216
5호선,서대문,서울역사박물관,서울특별시 종로구 새문안로 55
2호선,종합운동장,서울종합운동장,서울특별시 송파구 올림픽로 25 서울종합운동장
9호선,종합운동장,서울종합운동장,서울특별시 송파구 올림픽로 25 서울종합운동장
1호선,도봉산,서울창포원,서울특별시 도봉구 마들로 916
7호선,도봉산,서울창포원,서울특별시 도봉구 마들로 916
1호선,신설동,서울풍물시장,서울특별시 동대문구 천호대로4길 21 서울풍물시장
6호선,망원,서울함 공원,서울특별시 마포구 마포나루길 407
1호선,서정리,서정 우물,경기도 평택시 서정동 733-7
7호선,이수역,서초 토요 벼룩시장,서울특별시 서초구 방배동 444-21
3호선,경복궁,서촌마을,서울특별시 종로구 필운대로 45
1호선,망월사,석림사(경기),경기도 의정부시 동일로122번길 177
8호선,석촌,석촌 백제고분,서울특별시 송파구 석촌동
2호선,잠실,석촌호수,서울특별시 송파구 잠실로 180
8호선,잠실,석촌호수,서울특별시 송파구 잠실로 180
9호선,송파나루,석촌호수(동호),서울특별시 송파구 잠실로 180
9호선,석촌고분,석촌호수(서호),서울특별시 송파구 잠실로 148
8호선,석촌,석촌호수공원,서울특별시 송파구 신천동
1호선,제기동,선농단,서울특별시 동대문구 제기동
6호선,안암,선농단,서울특별시 동대문구 제기동
4호선,성신여대입구,선잠단,서울특별시 성북구 성북동
2호선,선릉,선정릉,서울특별시 강남구 선릉로100길 1 선릉정릉
3호선,경복궁,성곡미술관,서울특별시 종로구 경희궁길 42 성곡미술관
5호선,광화문,성곡미술관,서울특별시 종로구 경희궁길 42 성곡미술관
5호선,광화문,성공회교회,서울특별시 중구 세종대로21길 15
2호선,성수,성수동수제화거리,서울특별시 성동구 연무장7길 15 삼한창고
1호선,종로5가,성제묘,서울특별시 중구 방산동
4호선,한대앞,성호기념관,경기도 안산시 상록구 성호로 131 성호(이익)기념관
7호선,반포역,세빛둥둥섬 전망공원,서울특별시 서초구 올림픽대로 683 세빛섬
9호선,신반포,세빛섬,서울특별시 서초구 올림픽대로 683
5호선,광화문,세종갤러리,서울특별시 종로구 세종대로 175
6호선,고려대,세종대왕기념관,서울특별시 동대문구 회기로 56
5호선,광화문,세종문화회관,서울특별시 종로구 세종대로 175
3호선,고속터미널,센트럴 시티,서울특별시 서초구 신반포로 176 센트럴시티
5호선,올림픽공원역,소마미술관,서울특별시 송파구 위례성대로 51
8호선,몽촌토성(평화의문)역,소마미술관,서울특별시 송파구 위례성대로 51
1호선,소요산,소요단풍문화제,경기도 동두천시 평화로2910번길 145 소요산관리사무소
1호선,소요산,소요산 토속음식마을,경기도 동두천시 봉동로6번길 15-26
1호선,소요산,소요산국민관광지,경기도 동두천시 상봉암동
1호선,소요산,소요산국민관광지야외음악당,경기도 동두천시 평화로2910번길 145 소요산관리사무소
1호선,소요산,소요산국민관광지캠핑장,경기도 동두천시 상봉암동
1호선,소요산,소요산산림욕장,경기도 동두천시 상봉암동 15-2
1호선,보산,소요산탑온천랜드,경기도 동두천시 장고갯로 161-35
1호선,동두천중앙,소요산탑유황온천,경기도 동두천시 장고갯로 161-35 (생연동)
1호선,소요산,소요생활체육공원,경기도 동두천시 상봉암동
5호선,왕십리,소월아트홀,서울특별시 성동구 왕십리로 281 성동문화회관
1호선,진위,소풍,경기도 평택시 진위면 하북3길 25-59
2호선,충청로,손기정기념관,서울특별시 중구 손기정로 101 손기정공원
9호선,송파나루,송리단길,서울특별시 송파구 백제고분로43길 23
1호선,송탄,송탄관광특구,경기도 평택시 신장동
5호선,우장산역,송화시장,서울특별시 강서구 강서로 263-29
7호선,수락산,수락산,서울특별시 노원구 상계동
1호선,수원,수원향교,경기도 수원시 팔달구 향교로 107-9 수원향교
1호선,수원,수원화성,경기도 수원시 장안구 영화동 320-2
1호선,수원,수원화성서남암문,경기도 수원시 팔달구 교동
1호선,수원,수원화성효원의종,경기도 수원시 팔달구 남창동 55-23
3호선,동대입구,수표교,서울특별시 종로구 관수동
3호선,동대입구,수표교,서울특별시 중구 장충동2가
3호선,백석,수피아,경기도 고양시 일산동구 강촌로26번길 7-4
5호선,여의나루,순복음교회,서울특별시 영등포구 국회대로76길 15
1호선,서울역,숭례문,서울특별시 중구 세종대로 40
